Student_ID,Subject,Score,Grade,Semester,Pass_Status
19,Art,59,C,Fall,True
19,Math,45,F,Spring,False
20,Physics,58,A,Spring,True
20,History,96,B,Spring,True
20,English,44,F,Spring,True
20,Art,42,A,Spring,False
21,Math,98,D,Spring,False
21,Physics,40,B,Spring,True
21,History,97,B,Fall,True
21,English,99,D,Fall,True
22,Art,77,B,Spring,True
22,Math,54,C,Spring,True
22,Physics,73,B,Fall,True
22,History,74,C,Spring,True
23,English,88,A,Fall,True
23,Art,64,B,Fall,False
23,Math,63,F,Fall,True
23,Physics,51,B,Spring,True
24,History,57,C,Spring,True
24,English,54,B,Fall,False
24,Art,83,C,Fall,False
24,Math,55,A,Fall,True
25,Physics,66,F,Fall,True
25,History,47,B,Fall,True
25,English,99,B,Spring,True
25,Art,85,A,Fall,True
26,Math,64,A,Spring,True
26,Physics,56,C,Fall,True
26,History,68,B,Spring,True
26,English,92,D,Spring,True
27,Art,47,B,Spring,True
27,Math,54,B,Spring,True
27,Physics,66,C,Spring,False
27,History,85,C,Spring,True
28,English,89,A,Fall,False
28,Art,91,A,Spring,True
28,Math,46,A,Fall,True
28,Physics,42,C,Spring,True
29,History,68,C,Spring,True
29,English,83,B,Fall,True
29,Art,92,D,Spring,True
29,Math,63,D,Fall,True
30,Physics,99,C,Fall,True
30,History,97,D,Fall,True
30,English,42,B,Fall,True
30,Art,59,A,Spring,True
31,Math,85,B,Spring,True
31,Physics,54,A,Fall,True
31,History,64,C,Spring,True
31,English,69,F,Spring,False
32,Art,53,A,Fall,True
32,Math,46,A,Spring,True
32,Physics,56,B,Fall,False
32,History,83,F,Fall,True
33,English,59,B,Spring,True
33,Art,75,C,Spring,True
33,Math,48,A,Spring,True
33,Physics,77,A,Fall,True
34,History,87,F,Fall,True
34,English,96,F,Spring,True
34,Art,99,A,Spring,True
34,Math,61,F,Spring,False
35,Physics,93,C,Spring,True
35,History,92,D,Fall,True
35,English,92,B,Spring,True
35,Art,41,C,Fall,True
36,Math,63,B,Fall,True
36,Physics,47,C,Spring,True
36,History,50,A,Spring,True
36,English,52,A,Spring,False
37,Art,56,B,Fall,True
37,Math,47,C,Spring,True
37,Physics,60,B,Spring,True
37,History,57,C,Fall,True
38,English,69,F,Spring,True
38,Art,57,A,Fall,True
38,Math,85,C,Spring,True
38,Physics,86,B,Fall,True
39,History,70,D,Spring,True
39,English,77,A,Spring,True
39,Art,71,C,Fall,True
39,Math,50,D,Fall,True
40,Physics,84,F,Spring,True
40,History,64,C,Fall,True
40,English,72,B,Fall,True
40,Art,99,C,Fall,True
41,Math,77,D,Fall,True
41,Physics,80,C,Spring,True
41,History,47,A,Spring,False
41,English,50,F,Fall,True
42,Art,61,C,Fall,False
42,Math,90,C,Fall,True
42,Physics,63,B,Fall,True
42,History,80,C,Spring,True
43,English,56,B,Spring,True
43,Art,51,C,Fall,True
43,Math,96,A,Fall,True
43,Physics,85,C,Fall,True
44,History,71,F,Spring,True
44,English,54,A,Fall,True
44,Art,55,F,Spring,True
44,Math,93,B,Fall,True
45,Physics,61,D,Spring,True
45,History,67,C,Fall,True
45,English,59,C,Spring,True
45,Art,72,C,Fall,True
46,Math,49,D,Fall,False
46,Physics,79,B,Fall,False
46,History,71,B,Spring,True
46,English,89,C,Fall,True
47,Art,99,D,Spring,True
47,Math,72,C,Spring,True
47,Physics,41,C,Fall,True
47,History,72,B,Fall,True
48,English,72,D,Fall,True
48,Art,80,A,Spring,False
48,Math,52,C,Fall,True
48,Physics,69,A,Spring,True
49,History,72,B,Spring,True
49,English,52,B,Fall,False
49,Art,91,B,Fall,True
49,Math,65,C,Fall,True
50,Physics,61,B,Fall,True
50,History,78,B,Fall,True
50,English,41,B,Fall,True
50,Art,77,B,Spring,True
